"","eventID","occurrenceID","recordedBy","measurementType","measurementValue","measurementUnit"
"1","Site1_01/12/1929","Site1_01/12/1929_A18","Edgar Anderson","sepal length",5.1,"cm"
"2","Site1_01/12/1929","Site1_01/12/1929_A18","Edgar Anderson","sepal width",3.5,"cm"
"3","Site1_01/12/1929","Site1_01/12/1929_A18","Edgar Anderson","petal length",1.4,"cm"
"4","Site1_01/12/1929","Site1_01/12/1929_A18","Edgar Anderson","petal width",0.3,"cm"
"5","Site1_02/12/1929","Site1_02/12/1929_A30","Edgar Anderson","sepal length",4.7,"cm"
"6","Site1_02/12/1929","Site1_02/12/1929_A30","Edgar Anderson","sepal width",3.2,"cm"
"7","Site1_02/12/1929","Site1_02/12/1929_A30","Edgar Anderson","petal length",1.6,"cm"
"8","Site1_02/12/1929","Site1_02/12/1929_A30","Edgar Anderson","petal width",0.2,"cm"
"9","Site1_02/12/1929","Site1_02/12/1929_A47","Edgar Anderson","sepal length",4.5,"cm"
"10","Site1_02/12/1929","Site1_02/12/1929_A47","Edgar Anderson","sepal width",2.3,"cm"
"11","Site1_02/12/1929","Site1_02/12/1929_A47","Edgar Anderson","petal length",1.3,"cm"
"12","Site1_02/12/1929","Site1_02/12/1929_A47","Edgar Anderson","petal width",0.3,"cm"
"13","Site1_02/12/1929","Site1_02/12/1929_A28","Edgar Anderson","sepal length",5.2,"cm"
"14","Site1_02/12/1929","Site1_02/12/1929_A28","Edgar Anderson","sepal width",3.5,"cm"
"15","Site1_02/12/1929","Site1_02/12/1929_A28","Edgar Anderson","petal length",1.5,"cm"
"16","Site1_02/12/1929","Site1_02/12/1929_A28","Edgar Anderson","petal width",0.2,"cm"
"17","Site1_02/12/1929","Site1_02/12/1929_A75","Edgar Anderson","sepal length",6.4,"cm"
"18","Site1_02/12/1929","Site1_02/12/1929_A75","Edgar Anderson","sepal width",2.9,"cm"
"19","Site1_02/12/1929","Site1_02/12/1929_A75","Edgar Anderson","petal length",4.3,"cm"
"20","Site1_02/12/1929","Site1_02/12/1929_A75","Edgar Anderson","petal width",1.3,"cm"
"21","Site2_02/12/1929","Site2_02/12/1929_A95","Edgar Anderson","sepal length",5.6,"cm"
"22","Site2_02/12/1929","Site2_02/12/1929_A95","Edgar Anderson","sepal width",2.7,"cm"
"23","Site2_02/12/1929","Site2_02/12/1929_A95","Edgar Anderson","petal length",4.2,"cm"
"24","Site2_02/12/1929","Site2_02/12/1929_A95","Edgar Anderson","petal width",1.3,"cm"
"25","Site3_02/12/1929","Site3_02/12/1929_A64","Edgar Anderson","sepal length",6.1,"cm"
"26","Site3_02/12/1929","Site3_02/12/1929_A64","Edgar Anderson","sepal width",2.9,"cm"
"27","Site3_02/12/1929","Site3_02/12/1929_A64","Edgar Anderson","petal length",4.7,"cm"
"28","Site3_02/12/1929","Site3_02/12/1929_A64","Edgar Anderson","petal width",1.4,"cm"
"29","Site1_02/12/1929","Site1_02/12/1929_A105","Edgar Anderson","sepal length",6.5,"cm"
"30","Site1_02/12/1929","Site1_02/12/1929_A105","Edgar Anderson","sepal width",3,"cm"
"31","Site1_02/12/1929","Site1_02/12/1929_A105","Edgar Anderson","petal length",5.8,"cm"
"32","Site1_02/12/1929","Site1_02/12/1929_A105","Edgar Anderson","petal width",2.2,"cm"
"33","Site1_02/12/1929","Site1_02/12/1929_A114","Edgar Anderson","sepal length",5.7,"cm"
"34","Site1_02/12/1929","Site1_02/12/1929_A114","Edgar Anderson","sepal width",2.5,"cm"
"35","Site1_02/12/1929","Site1_02/12/1929_A114","Edgar Anderson","petal length",5,"cm"
"36","Site1_02/12/1929","Site1_02/12/1929_A114","Edgar Anderson","petal width",2,"cm"
"37","Site1_02/12/1929","Site1_02/12/1929_A126","Edgar Anderson","sepal length",7.2,"cm"
"38","Site1_02/12/1929","Site1_02/12/1929_A126","Edgar Anderson","sepal width",3.2,"cm"
"39","Site1_02/12/1929","Site1_02/12/1929_A126","Edgar Anderson","petal length",6,"cm"
"40","Site1_02/12/1929","Site1_02/12/1929_A126","Edgar Anderson","petal width",1.8,"cm"
"41","Site1_02/12/1929","Site1_02/12/1929_A138","Edgar Anderson","sepal length",6.4,"cm"
"42","Site1_02/12/1929","Site1_02/12/1929_A138","Edgar Anderson","sepal width",3.1,"cm"
"43","Site1_02/12/1929","Site1_02/12/1929_A138","Edgar Anderson","petal length",5.5,"cm"
"44","Site1_02/12/1929","Site1_02/12/1929_A138","Edgar Anderson","petal width",1.8,"cm"
"45","Site1_02/12/1929","Site1_02/12/1929_A141","Edgar Anderson","sepal length",6.7,"cm"
"46","Site1_02/12/1929","Site1_02/12/1929_A141","Edgar Anderson","sepal width",3.1,"cm"
"47","Site1_02/12/1929","Site1_02/12/1929_A141","Edgar Anderson","petal length",5.6,"cm"
"48","Site1_02/12/1929","Site1_02/12/1929_A141","Edgar Anderson","petal width",2.4,"cm"
"49","Site1_02/12/1929","Site1_02/12/1929_A150","Edgar Anderson","sepal length",5.9,"cm"
"50","Site1_02/12/1929","Site1_02/12/1929_A150","Edgar Anderson","sepal width",3,"cm"
"51","Site1_02/12/1929","Site1_02/12/1929_A150","Edgar Anderson","petal length",5.1,"cm"
"52","Site1_02/12/1929","Site1_02/12/1929_A150","Edgar Anderson","petal width",1.8,"cm"
"53","Site2_02/12/1929","Site2_02/12/1929_A101","Edgar Anderson","sepal length",6.3,"cm"
"54","Site2_02/12/1929","Site2_02/12/1929_A101","Edgar Anderson","sepal width",3.3,"cm"
"55","Site2_02/12/1929","Site2_02/12/1929_A101","Edgar Anderson","petal length",6,"cm"
"56","Site2_02/12/1929","Site2_02/12/1929_A101","Edgar Anderson","petal width",2.5,"cm"
"57","Site2_02/12/1929","Site2_02/12/1929_A146","Edgar Anderson","sepal length",6.7,"cm"
"58","Site2_02/12/1929","Site2_02/12/1929_A146","Edgar Anderson","sepal width",3,"cm"
