"","eventID","occurrenceID","scientificName","scientificNameID","recordedBy","taxonRank","organismQuantityType","basisOfRecord"
"1","Site1_01/12/1929","Site1_01/12/1929_A18","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"2","Site1_02/12/1929","Site1_02/12/1929_A30","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"3","Site1_02/12/1929","Site1_02/12/1929_A47","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"4","Site1_02/12/1929","Site1_02/12/1929_A28","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"5","Site1_02/12/1929","Site1_02/12/1929_A75","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"6","Site2_02/12/1929","Site2_02/12/1929_A95","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"7","Site3_02/12/1929","Site3_02/12/1929_A64","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"8","Site1_02/12/1929","Site1_02/12/1929_A105","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"9","Site1_02/12/1929","Site1_02/12/1929_A114","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"10","Site1_02/12/1929","Site1_02/12/1929_A126","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"11","Site1_02/12/1929","Site1_02/12/1929_A138","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"12","Site1_02/12/1929","Site1_02/12/1929_A141","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"13","Site1_02/12/1929","Site1_02/12/1929_A150","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"14","Site2_02/12/1929","Site2_02/12/1929_A101","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"15","Site2_02/12/1929","Site2_02/12/1929_A146","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
"16","Site2_13/02/1930","Site2_13/02/1930_A24","Iris setosa","https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=43195","Edgar Anderson","Species","individuals","Human observation"
