Sepal.Length;Sepal.Width;Petal.Length;Petal.Width;species;amostra;lat;long;date;area
5.1;3.5;1.4;0.3;Iris setosa;A18;48.935.966;-64.840.984;01/12/1929;Site1
4.7;3.2;1.6;0.2;Iris setosa;A30;48.935.966;-64.840.984;02/12/1929;Site1
4.5;2.3;1.3;0.3;Iris setosa;A47;48.935.966;-64.840.984;02/12/1929;Site1
5.2;3.5;1.5;0.2;Iris setosa;A28;48.935.966;-64.840.984;02/12/1929;Site1
6.4;2.9;4.3;1.3;Iris setosa;A75;48.935.966;-64.840.984;02/12/1929;Site1
5.6;2.7;4.2;1.3;Iris setosa;A95;48.540.502;-64.766.512;02/12/1929;Site2
6.1;2.9;4.7;1.4;Iris setosa;A64;48.329.837;-65.512.333;02/12/1929;Site3
6.5;3;5.8;2.2;Iris setosa;A105;48.935.966;-64.840.984;02/12/1929;Site1
5.7;2.5;5;2;Iris setosa;A114;48.935.966;-64.840.984;02/12/1929;Site1
7.2;3.2;6;1.8;Iris setosa;A126;48.935.966;-64.840.984;02/12/1929;Site1
6.4;3.1;5.5;1.8;Iris setosa;A138;48.935.966;-64.840.984;02/12/1929;Site1
6.7;3.1;5.6;2.4;Iris setosa;A141;48.935.966;-64.840.984;02/12/1929;Site1
5.9;3;5.1;1.8;Iris setosa;A150;48.935.966;-64.840.984;02/12/1929;Site1
6.3;3.3;6;2.5;Iris setosa;A101;48.540.502;-64.766.512;02/12/1929;Site2
6.7;3;5.2;2.3;Iris setosa;A146;48.540.502;-64.766.512;02/12/1929;Site2
4.9;3.6;1.4;0.1;Iris setosa;A24;48.540.502;-64.766.512;13/02/1930;Site2
6.9;3.1;5.1;2.3;Iris virginica;A148;48.329.837;-65.512.333;01/12/1929;Site3
6.6;2.9;4.6;1.3;Iris versicolor;A70;48.540.502;-64.766.512;13/02/1930;Site2
5.8;4;1.2;0.2;Iris setosa;A16;48.935.966;-64.840.984;01/12/1929;Site1
5.1;2.5;3;1.1;Iris versicolor;A67;48.935.966;-64.840.984;01/12/1929;Site1
7.2;3;5.8;1.6;Iris virginica;A144;48.329.837;-65.512.333;01/12/1929;Site3
