Sepal.Length;Sepal.Width;Petal.Length;Petal.Wigth;Species;amostra;lat;long;date;area;
5.1;3.5;1.4;0.3;Iris_setosa;A18;48935966;-64840984;01/12/1929;Site1;
4.7;3.2;1.6;0.2;Iris_setosa;A30;48935966;-64840984;02/12/1929;Site1;
4.5;2.3;1.3;0.3;Iris_setosa;A47;48935966;-64840984;02/12/1929;Site1;
5.2;3.5;1.5;0.2;Iris_setosa;A28;48935966;-64840984;02/12/1929;Site1;
6.4;2.9;4.3;1.3;Iris_setosa;A75;48540502;-64840984;02/12/1929;Site1;
5.6;2.7;4.2;1.3;Iris_setosa;A95;48329837;-64766512;02/12/1929;Site2;
6.1;2.9;4.7;1.4;Iris_setosa;A64;48935966;-65512333;02/12/1929;Site3;
6.5;3;5.8;2.2;Iris_setosa;A105;48935966;-64840984;02/12/1929;Site1;
5.7;2.5;5;2;Iris_setosa;A114;48935966;-64840984;02/12/1929;Site1;
7.2;3.2;6;1.8;Iris_setosa;A126;48935966;-64840984;02/12/1929;Site1;
6.4;3.1;5.5;1.8;Iris_setosa;A138;48935966;-64840984;02/12/1929;Site1;
6.7;3.1;5.6;2.4;Iris_setosa;A141;48935966;-64840984;02/12/1929;Site1;
5.9;3;5.1;1.8;Iris_setosa;A150;48540502;-64840984;02/12/1929;Site1;
6.3;3.3;6;2.5;Iris_setosa;A101;48540502;-64766512;02/12/1929;Site2;
6.7;3;5.2;2.3;Iris_setosa;A146;48540502;-64766512;02/12/1929;Site2;
4.9;3.6;1.4;0.1;Iris_setosa;A24;48329837;-64766512;13/02/1930;Site2;
6.9;3.1;5.1;2.3;Iris_virginica;A148;48540502;-65512333;01/12/1929;Site3;
6.6;2.9;4.6;1.3;Iris_versicolor;A70;48935966;-64766512;13/02/1930;Site2;
5.8;4;1.2;0.2;Iris_setosa;A16;48935966;-64840984;01/12/1929;Site1;
5.1;2.5;3;1.1;Iris_versicolor;A67;48329837;-64840984;01/12/1929;Site1;
7.2;3;5.8;1.6;Iris_virginica;A144;48329837;-65512333;01/12/1929;Site3;
