Sepal.Length;Sepal.Width;Petal.Length;Petal.Width;species;amostra;lat;long;date;area
4.9;3.6;1.4;0.1;Iris setosa;A24;48.540.502;-64.766.512;13/02/1930;Site2
6.9;3.1;5.1;2.3;Iris virginica;A148;48.329.837;-65.512.333;01/12/1929;Site3
6.6;2.9;4.6;1.3;Iris versicolor;A70;48.540.502;-64.766.512;13/02/1930;Site2
5.8;4;1.2;0.2;Iris setosa;A16;48.935.966;-64.840.984;01/12/1929;Site1
5.1;2.5;3;1.1;Iris versicolor;A67;48.935.966;-64.840.984;01/12/1929;Site1
7.2;3;5.8;1.6;Iris virginica;A144;48.329.837;-65.512.333;01/12/1929;Site3
6.6;3;4.4;1.4;Iris versicolor;A92;48.329.837;-65.512.333;01/12/1929;Site3
7.7;2.8;6.7;2;Iris virginica;A108;48.935.966;-64.840.984;01/12/1929;Site1
6.1;2.6;5.6;1.4;Iris virginica;A112;48.935.966;-64.840.984;01/12/1929;Site1
6.1;3;4.6;1.4;Iris versicolor;A81;48.540.502;-64.766.512;01/12/1929;Site2
7;3.2;4.7;1.4;Iris versicolor;A51;48.935.966;-64.840.984;01/12/1929;Site1
6.1;2.8;4.7;1.2;Iris versicolor;A75;48.540.502;-64.766.512;01/12/1929;Site2
5.4;3.7;1.5;0.2;Iris setosa;A32;48.540.502;-64.766.512;01/12/1929;Site2
5.7;3.8;1.7;0.3;Iris setosa;A34;48.329.837;-65.512.333;01/12/1929;Site3
5.5;2.3;4;1.3;Iris versicolor;A52;48.935.966;-64.840.984;01/12/1929;Site1
