Sepal.Length;Sepal.Width;Petal.Length;Petal.Width;species;amostra;lat;long;date;area
5.4;3.4;1.7;0.2;Iris setosa;A21;48.935.966;-64.840.984;01/12/1929;Site1
5.2;4.1;1.5;0.1;Iris setosa;A33;48.935.966;-64.840.984;01/12/1929;Site1
4.4;3;1.3;0.2;Iris setosa;A39;48.935.966;-64.840.984;01/12/1929;Site1
4.6;3.6;1;0.2;Iris setosa;A23;48.540.502;-64.766.512;13/02/1930;Site2
5;3.3;1.4;0.2;Iris setosa;A50;48.540.502;-64.766.512;13/02/1930;Site2
5;3.6;1.4;0.2;Iris setosa;A5;48.540.502;-64.766.512;13/02/1930;Site2
5.1;3.7;1.5;0.4;Iris setosa;A22;48.329.837;-65.512.333;01/12/1929;Site3
4.8;3;1.4;0.3;Iris setosa;A46;48.329.837;-65.512.333;01/12/1929;Site3
5.9;3.2;4.8;1.8;Iris versicolor;A71;48.540.502;-64.766.512;13/02/1930;Site2
5.5;2.4;3.7;1;Iris versicolor;A82;48.329.837;-65.512.333;01/12/1929;Site3
5.7;2.9;4.2;1.3;Iris versicolor;A97;48.329.837;-65.512.333;01/12/1929;Site3
6.3;2.9;5.6;1.8;Iris virginica;A104;48.540.502;-64.766.512;13/02/1930;Site2
5.6;2.8;4.9;2;Iris virginica;A122;48.540.502;-64.766.512;13/02/1930;Site2
6.7;3.3;5.7;2.1;Iris virginica;A125;48.540.502;-64.766.512;13/02/1930;Site2
6.4;2.7;5.3;1.9;Iris virginica;A112;48.329.837;-65.512.333;01/12/1929;Site3
