Sepal.Length;Sepal.Width;Petal.Length;Petal.Width;species;amostra;lat;long;date;area
5.8;4;1.2;0.2;Iris setosa;A15;48.935.966;-64.840.984;01/12/1929;Site1
5.4;3.4;1.7;0.2;Iris setosa;A21;48.935.966;-64.840.984;01/12/1929;Site1
5.1;3.4;1.5;0.2;Iris setosa;A40;48.329.837;-65.512.333;01/12/1929;Site3
5.3;3.7;1.5;0.2;Iris setosa;A49;48.329.837;-65.512.333;01/12/1929;Site3
5.7;2.8;4.5;1.3;Iris versicolor;A56;48.540.502;-64.766.512;13/02/1930;Site2
4.9;2.4;3.3;1;Iris versicolor;A58;48.329.837;-65.512.333;01/12/1929;Site3
5.9;3;4.2;1.5;Iris versicolor;A62;48.540.502;-64.766.512;13/02/1930;Site2
5.5;2.5;4;1.3;Iris versicolor;A90;48.935.966;-64.840.984;01/12/1929;Site1
6.3;3.3;6;2.5;Iris virginica;A101;48.540.502;-64.766.512;13/02/1930;Site2
4.9;2.5;4.5;1.7;Iris virginica;A107;48.540.502;-64.766.512;13/02/1930;Site2
5.8;2.8;5.1;2.4;Iris virginica;A115;48.329.837;-65.512.333;01/12/1929;Site3
6.4;3.2;5.3;2.3;Iris virginica;A116;48.540.502;-64.766.512;13/02/1930;Site2
6.9;3.2;5.7;2.3;Iris virginica;A121;48.329.837;-65.512.333;01/12/1929;Site3
6.2;2.8;4.8;1.8;Iris virginica;A127;48.329.837;-65.512.333;01/12/1929;Site3
6.9;3.1;5.4;2.1;Iris virginica;A140;48.540.502;-64.766.512;13/02/1930;Site2
