Sepal.Length;Sepal.Width;Petal.Length;Petal.Width;species;amostra;lat;long;date;area
4.7;3.2;1.3;0.2;Iris setosa;A3;48.935.966;-64.840.984;01/12/1929;Site1
4.6;3.1;1.5;0.2;Iris setosa;A4;48.329.837;-65.512.333;01/12/1929;Site3
4.6;3.4;1.4;0.3;Iris setosa;A7;48.329.837;-65.512.333;01/12/1929;Site3
4.8;3.4;1.9;0.2;Iris setosa;A25;48.329.837;-65.512.333;01/12/1929;Site3
5;3.4;1.6;0.4;Iris setosa;A27;48.935.966;-64.840.984;01/12/1929;Site1
5.6;2.9;3.6;1.3;Iris setosa;A65;48.540.502;-64.766.512;13/02/1930;Site2
6.1;2.8;4;1.3;Iris setosa;A72;48.935.966;-64.840.984;01/12/1929;Site1
6.8;2.8;4.8;1.4;Iris setosa;A77;48.540.502;-64.766.512;13/02/1930;Site2
6.7;3;5;1.7;Iris setosa;A78;48.935.966;-64.840.984;01/12/1929;Site1
5.4;3;4.5;1.5;Iris setosa;A85;48.329.837;-65.512.333;01/12/1929;Site3
6.3;2.9;5.6;1.8;Iris setosa;A104;48.540.502;-64.766.512;13/02/1930;Site2
7.6;3;6.6;2.1;Iris setosa;A106;48.329.837;-65.512.333;01/12/1929;Site3
6.5;3.2;5.1;2;Iris setosa;A111;48.935.966;-64.840.984;01/12/1929;Site1
6.1;2.6;5.6;1.4;Iris setosa;A135;48.935.966;-64.840.984;01/12/1929;Site1
6;3;4.8;1.8;Iris setosa;A139;48.329.837;-65.512.333;01/12/1929;Site3
