Sepal.Length;Sepal.Width;Petal.Length;Petal.Width;species;amostra;lat;long;date;area
5.9;3;5.1;1.8;iris virginica;A17;48.935.966;-64.840.984;01/12/1929;Site1
6.3;3.4;5.6;2.4;iris virginica;A130;48.540.502;-64.766.512;13/02/1930;Site2
5.5;2.4;3.8;1.1;iris versicolor;A61;48.935.966;-64.840.984;01/12/1929;Site1
4.8;3.1;1.6;0.2;iris setosa;A38;48.329.837;-65.512.333;01/12/1929;Site3
6.3;2.8;5.1;1.5;iris virginica;A129;48.540.502;-64.766.512;13/02/1930;Site2
6.8;3;5.5;2.1;iris virginica;A122;48.540.502;-64.766.512;13/02/1930;Site2
5.1;3.4;1.5;0.2;iris setosa;A41;48.329.837;-65.512.333;01/12/1929;Site3
5.7;3;4.2;1.2;iris versicolor;A66;48.935.966;-64.840.984;01/12/1929;Site1
6.4;3.2;4.5;1.5;iris versicolor;A84;48.329.837;-65.512.333;01/12/1929;Site3
6.7;2.5;5.8;1.8;iris virginica;A137;48.329.837;-65.512.333;01/12/1929;Site3
5.4;3;4.5;1.5;iris versicolor;A95;48.329.837;-65.512.333;01/12/1929;Site3
7.7;3;6.1;2.3;iris virginica;A146;48.329.837;-65.512.333;01/12/1929;Site3
6;3.4;4.5;1.6;iris versicolor;A79;48.540.502;-64.766.512;13/02/1930;Site2
5.6;3;4.1;1.3;iris versicolor;A80;48.540.502;-64.766.512;13/02/1930;Site2
6.3;3.3;4.7;1.6;iris versicolor;A53;48.935.966;-64.840.984;01/12/1929;Site1
