Sepal.Length;Sepal.Width;Petal.Length;Petal.Width;species;amostra;lat;long;date;area
6.2;2.8;4.8;1.8;Iris virginica;A127;48.329.837;-65.512.333;01/12/1929;Site3
5.3;3.7;1.5;0.2;Iris setosa;A49;48.329.837;-65.512.333;01/12/1929;Site3
5.7;2.8;4.1;1.3;Iris versicolor;A100;48.329.837;-65.512.333;01/12/1929;Site3
4.7;3.2;1.3;0.2;Iris setosa;A3;48.935.966;-64.840.984;01/12/1929;Site1
6.9;3.1;5.4;2.1;Iris virginica;A140;48.540.502;-64.766.512;13/02/1930;Site2
6.4;2.8;5.6;2.2;Iris virginica;A133;48.329.837;-65.512.333;01/12/1929;Site3
5.8;2.7;5.1;1.9;Iris virginica;A143;48.540.502;-64.766.512;13/02/1930;Site3
4.6;3.4;1.4;0.3;Iris setosa;A7;48.329.837;-65.512.333;01/12/1929;Site3
6.5;3.0;5.2;2.0;Iris virginica;A148;48.329.837;-65.512.333;01/12/1929;Site3
5.0;2.3;3.3;1.0;Iris versicolor;A94;48.329.837;-65.512.333;01/12/1929;Site3
5.0;2.0;3.5;1.0;Iris versicolor;A61;48.329.837;-65.512.333;01/12/1929;Site3
4.4;2.9;1.4;0.2;Iris setosa;A9;48.935.966;-64.840.984;01/12/1929;Site1
6.7;3.1;4.7;1.5;Iris versicolor;A87;48.935.966;-64.840.984;01/12/1929;Site1
6.9;3.2;5.7;2.3;Iris virginica;A121;48.329.837;-65.512.333;01/12/1929;Site3
6.2;2.2;4.5;1.5;Iris versicolor;A69;48.935.966;-64.840.984;01/12/1929;Site1
