scientificName;acceptedScientificName;decimalLatitude;decimalLongitude;issues;basisOfRecord;occurrenceStatus;rightsHolder;datasetName;recordedBy;locality;habitat;stateProvince
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-19,615556;-40,833056;gass84,diffown;PRESERVED_SPECIMEN;PRESENT;MBM - Herbário do Museu Botânico Municipal;MBM - Herbário do Museu Botânico Municipal;"Brotto, M.L.; Völtz, R.R.; Völtz, R.R.";Pontal de Santa Joana, terreno do Sr. Bila;;Espirito Santo
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-20,599278;-43,466528;gass84,inmano;PRESERVED_SPECIMEN;PRESENT;"OUPR - Herbário ""Professor José Badini""";"OUPR - Herbário ""Professor José Badini""";"Gaião, L.M.; Batista, J.C.";Santa Rita de Ouro Preto, Piedade;;Minas Gerais
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-21,367222;-41,081944;cdround,gass84,inmano;PRESERVED_SPECIMEN;PRESENT;Rio de Janeiro Botanical Garden;RB - Rio de Janeiro Botanical Garden Herbarium Collection;"Elenice A. Fortes; Herick B. M. Viana, Nilson B. Neves Neto, Patrícia M. Santos";EEEG. Na borda da mata, ponta norte da mata, condomínio. Floresta Estacional Semidecidual sobre tabuleiro.;;Rio de Janeiro
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-21,367222;-41,081944;gass84,diffown;PRESERVED_SPECIMEN;PRESENT;HUEFS - Herbario da Universidade Estadual de Feira de Santana;HUEFS - Herbario da Universidade Estadual de Feira de Santana;Fortes, E.A.;Estação Ecológica Estadual Guaxindiba. EEEG. Na borda da mata, ponta norte da mata, condomínio.;;Rio de Janeiro
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-19,835278;-43,398333;gass84,ambinst;PRESERVED_SPECIMEN;PRESENT;BHCB - Herbário da Universidade Federal de Minas Gerais;BHCB - Herbário da Universidade Federal de Minas Gerais;Rezende, SG;Cocais;;Minas Gerais
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-21,380278;-41,223056;cdround,gass84,inmano;PRESERVED_SPECIMEN;PRESENT;Rio de Janeiro Botanical Garden;RB - Rio de Janeiro Botanical Garden Herbarium Collection;"Haroldo C. de Lima; Marcelo T. Nascimento, Davi N.S. Machado, Herick B.M. Viana, Patrícia M. Santos";Mata da Mangueira, entre Pingo d´água e Santa Luzia. Fragmento de Floresta Estacional Semidecidual de Tabuleiro.;;Rio de Janeiro
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-19,467978;-43,932106;gass84,ambinst;PRESERVED_SPECIMEN;PRESENT;HDJF - Herbário Dendrológico Jeanine Felfili;HDJF - Herbário Dendrológico Jeanine Felfili;"Carvalho, L G C; Pinheiro A, C";RPPN;;Minas Gerais
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-17,665767;-41,675278;gass84,ambinst;PRESERVED_SPECIMEN;PRESENT;HDJF - Herbário Dendrológico Jeanine Felfili;HDJF - Herbário Dendrológico Jeanine Felfili;Guarneire, GJ;Comunidade de Icari;;Minas Gerais
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-22,354444;-43,733611;cdround,gass84,rdativ,inmano;PRESERVED_SPECIMEN;PRESENT;Rio de Janeiro Botanical Garden;RB - Rio de Janeiro Botanical Garden Herbarium Collection;"M. Verdi; C. Baez, E. Fernandez, T. Lima, R. Chaves & A. Beutin";Estrada-Parque, entre PESC e PNM Açude da Concórdia. Parque Estadual da Serra da Concórdia;;Rio de Janeiro
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-21,367222;-41,081944;cdround,gass84,inmano;PRESERVED_SPECIMEN;PRESENT;Rio de Janeiro Botanical Garden;RB - Rio de Janeiro Botanical Garden Herbarium Collection;"Haroldo C. de Lima; M.T. Nascimento, B. Stellet";Ponta Norte da Mata, Condomínio. Floresta Estacional. Estação Ecológica Estadual de Guaxindiba;;Rio de Janeiro
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-21,372222;-41,081944;gass84,incomis,inmafu;PRESERVED_SPECIMEN;PRESENT;ALCB - Herbário Alexandre Leal Costa;ALCB - Herbário Alexandre Leal Costa;"Lima, HC; Nascimento, MT; Stellet, B";estação EcológicaEstadualde Guaxindiba. Ponta Norte da Mata, Condomínio.;;Rio de Janeiro
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-21,372222;-41,081944;gass84,ambinst;PRESERVED_SPECIMEN;PRESENT;BHCB - Herbário da Universidade Federal de Minas Gerais;BHCB - Herbário da Universidade Federal de Minas Gerais;"Lima, HC de; Nascimento, MT; Stellet, B";Estação Ecológica Estadual de Guaxindiba, Ponta Norte da Mata. Condomínio.;;Rio de Janeiro
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-19;-43;gass84,ambinst;PRESERVED_SPECIMEN;PRESENT;HDJF - Herbário Dendrológico Jeanine Felfili;HDJF - Herbário Dendrológico Jeanine Felfili;"Soares, CCC; Barbalho, PPG;";CAVA SA3;;Minas Gerais
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-19;-43;gass84,inmano;PRESERVED_SPECIMEN;PRESENT;HDJFw - Xiloteca do Herbário Dendrológico Jeanine Felfili;HDJFw - Xiloteca do Herbário Dendrológico Jeanine Felfili;"Soares, CCC; Barbalho, PPG;";CAVA SA3;;Minas Gerais
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-21,372222;-41,081944;cdround,elmms,gass84,muluriiv,colmafu,inmafu;PRESERVED_SPECIMEN;PRESENT;ALCB - Herbário Alexandre Leal Costa;ALCB - Herbário Alexandre Leal Costa;"Lima, HC;Nascimento, MT,Stellet, B";estação EcológicaEstadualde Guaxindiba. Ponta Norte da Mata, Condomínio.;;Rio de Janeiro
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-21,367222;-41,081944;cdround,gass84,rdativ,inmano;PRESERVED_SPECIMEN;PRESENT;Rio de Janeiro Botanical Garden;RB - Rio de Janeiro Botanical Garden Herbarium Collection;"Elenice A. Fortes; Haroldo C. de Lima, Igor S. Broggio, Herick B. M. Viana, Nilson B. Neves";Ponta norte da mata. Condomínio, próximo à estrada da Cobiça. Floresta Estacional. Estação Ecológica Estadual de Guaxindiba;;Rio de Janeiro
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-21,367222;-41,081944;gass84,diffown;PRESERVED_SPECIMEN;PRESENT;HUEFS - Herbario da Universidade Estadual de Feira de Santana;HUEFS - Herbario da Universidade Estadual de Feira de Santana;Fortes, E.A.;Estação Ecológica Estadual de Guaxindiba. Ponta norte da mata. Condomínio, próximo à estrada da Cobiça.;;Rio de Janeiro
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-21,378889;-41,082222;cdround,gass84,inmano;PRESERVED_SPECIMEN;PRESENT;Rio de Janeiro Botanical Garden;RB - Rio de Janeiro Botanical Garden Herbarium Collection;"Elenice A. Fortes; Haroldo C. de Lima, Mariana A. Faitanin, Herick B. M. Viana, Nilson B. Neves Neto";Próximo à borda da mata onde passa a estrada da Cobiça. Floresta estacional. Estação Ecológica Estadual de Guaxindiba;;Rio de Janeiro
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-21,378889;-41,082222;gass84,diffown;PRESERVED_SPECIMEN;PRESENT;HUEFS - Herbario da Universidade Estadual de Feira de Santana;HUEFS - Herbario da Universidade Estadual de Feira de Santana;Fortes, E.A.;Estação Ecológica Estadual de Guaxindiba. Próximo à borda da mata onde passa a estrada da Cobiça.;;Rio de Janeiro
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-19,750833;-42,48;gass84,ambinst;PRESERVED_SPECIMEN;PRESENT;HDJF - Herbário Dendrológico Jeanine Felfili;HDJF - Herbário Dendrológico Jeanine Felfili;Paixão, FA;Rio Doce, Margem Esquerda;;Minas Gerais
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-17,139167;-41,893889;gass84,ambinst;PRESERVED_SPECIMEN;PRESENT;HDJF - Herbário Dendrológico Jeanine Felfili;HDJF - Herbário Dendrológico Jeanine Felfili;Otoni, TCO;Zona rural;;Minas Gerais
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-10,354444;-44,624444;gass84,diffown;PRESERVED_SPECIMEN;PRESENT;HUEFS - Herbario da Universidade Estadual de Feira de Santana;HUEFS - Herbario da Universidade Estadual de Feira de Santana;Antar, G.M.;Morro do Porco.;;Tocantins
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-18,076944;-43,227222;gass84,ambinst;PRESERVED_SPECIMEN;PRESENT;HDJF - Herbário Dendrológico Jeanine Felfili;HDJF - Herbário Dendrológico Jeanine Felfili;"Faria, JEQ; Pinheiro, AC";Estrada próxima a Felício dos Santos;;Minas Gerais
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-17,809722;-42,594444;gass84,ambinst;PRESERVED_SPECIMEN;PRESENT;HDJF - Herbário Dendrológico Jeanine Felfili;HDJF - Herbário Dendrológico Jeanine Felfili;"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN";Região de São Lourenço, próx. a Aricanduva;;Minas Gerais
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-21,358056;-41,094444;cdround,gass84,rdativ,inmano;PRESERVED_SPECIMEN;PRESENT;HUENF;Herbário - Universidade Estadual do Norte Fluminense Darcy Ribeiro;"Faitanin, M.A.;Nascimento, M.T.,Broggio, I.S.,Viana, H.";Estação Ecológica de Guaxindiba, E.E.E. Guaxindiba.;;Rio de Janeiro
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-13,030278;-39,604722;gass84,inmano;PRESERVED_SPECIMEN;PRESENT;CEPEC - Herbário do Centro de Pesquisas do Cacau;CEPEC - Herbário do Centro de Pesquisas do Cacau;Schulte, T.F.;Conglomerado BA_899-4-8-36;;Bahia
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-18,907778;-43,4025;gass84,diffown;PRESERVED_SPECIMEN;PRESENT;HUEFS - Herbario da Universidade Estadual de Feira de Santana;HUEFS - Herbario da Universidade Estadual de Feira de Santana;Faria, J.E.Q.;Conceição do Mato Dentro: Margem da MG-10 próximo ao povoado do Sapo.;;Minas Gerais
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-18,907778;-43,4025;cdround,gass84,rdativ,inmano;PRESERVED_SPECIMEN;PRESENT;Rio de Janeiro Botanical Garden;RB - Rio de Janeiro Botanical Garden Herbarium Collection;"J.E.Q. Faria; A.C. Pinheiro";Margem da MG- 10, próximo ao povoado do Sapo.;;Minas Gerais
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-18,907778;-43,4025;gass84,ambinst;PRESERVED_SPECIMEN;PRESENT;HDJF - Herbário Dendrológico Jeanine Felfili;HDJF - Herbário Dendrológico Jeanine Felfili;"Faria, JEQ; Pinheiro, AC";Margem da MG-10, próximo ao povoado do Sapo;;Minas Gerais
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-18,907778;-43,4025;gass84,inmano;PRESERVED_SPECIMEN;PRESENT;"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas";"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas";"Faria, JEQ; Pinheiro, AC";Margem da rodovia MG-10, próximo ao povoado do Sapo;;Minas Gerais
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-18,916185;-43,401485;gass84,ambinst;PRESERVED_SPECIMEN;PRESENT;HDJF - Herbário Dendrológico Jeanine Felfili;HDJF - Herbário Dendrológico Jeanine Felfili;"Moreira, SN; Pereira, E";Beira de estrada;;Minas Gerais
Melanoxylon brauna Schott;Melanoxylon brauna Schott;-18,058611;-39,662222;cdround,gass84,inmano;PRESERVED_SPECIMEN;PRESENT;Rio de Janeiro Botanical Garden;RB - Rio de Janeiro Botanical Garden Herbarium Collection;Grupo de Coletores do Núcleo Sapucaia;Assentamento Paulo Freire. Núcleo Sapucaia, Matriz 69 - lote de Dilma.;;Bahia
