ID	scientificName	acceptedScientificName	decimalLatitude	decimalLongitude	issues	basisOfRecord	occurrenceStatus	rightsHolder	datasetName	recordedBy	locality
1	Paratecoma peroba (Record) Kuhlm.	Paratecoma peroba (Record) Kuhlm.	-21,296667	-41,090278	cdround,gass84,inmano	PRESERVED_SPECIMEN	PRESENT	Rio de Janeiro Botanical Garden	RB - Rio de Janeiro Botanical Garden Herbarium Collection	"D.N.S. Machado; H.C. Lima, M. Trindade, P.M. Santos & H.B.M. Viana"	Mata da Fazenda Santo Antônio
2	Paratecoma peroba (Record) Kuhlm.	Paratecoma peroba (Record) Kuhlm.	-21,391389	-41,094444	cdround,gass84,rdativ,inmano	PRESERVED_SPECIMEN	PRESENT	HUENF		"Faitanin, M.A.;Nascimento, M.T.,Broggio, I.S.,Viana, H."	Estação Ecológica de Guaxindiba, E.E.E. Guaxindiba.
3	Paratecoma peroba (Record) Kuhlm.	Paratecoma peroba (Record) Kuhlm.	-21,391389	-41,094444	cdround,gass84,rdativ,inmano	PRESERVED_SPECIMEN	PRESENT	HUENF		"Nascimento, M.T.;Souza, T.P."	Mata do Carvão Estação Ecológica Estadual de Guaxindiba
4	Paratecoma peroba (Record) Kuhlm.	Paratecoma peroba (Record) Kuhlm.	-17,301944	-53,2175	gass84,colmafu,inmafu	PRESERVED_SPECIMEN	PRESENT	UFG - Herbário da Universidade Federal de Goiás	UFG - Herbário da Universidade Federal de Goiás	"Hashimoto, M.Y.; et al."	
5	Paratecoma peroba (Record) Kuhlm.	Paratecoma peroba (Record) Kuhlm.	-21,296944	-41,090278	cdround,gass84,inmano	PRESERVED_SPECIMEN	PRESENT	HUENF		"Gaglianone, M.C.;et al."	Fazenda Santo Antônio
6	Paratecoma peroba (Record) Kuhlm.	Paratecoma peroba (Record) Kuhlm.	-19,075683	-40,102185	gass84,diffown	PRESERVED_SPECIMEN	PRESENT	SPF - Herbário da Universidade de São Paulo	SPF - Herbário da Universidade de São Paulo	Zuntini, AR	estrada da Jurema, ca3 km de Juncado
7	Paratecoma peroba (Record) Kuhlm.	Paratecoma peroba (Record) Kuhlm.	-19,137616	-40,060705	gass84,inmano	PRESERVED_SPECIMEN	PRESENT	CVRD - Herbário da Reserva Natural Vale	CVRD - Herbário da Reserva Natural Vale	Folli, D.A.	
8	Paratecoma peroba (Record) Kuhlm.	Paratecoma peroba (Record) Kuhlm.	-21,375556	-41,918056	cdround,gass84,inmano	PRESERVED_SPECIMEN	PRESENT	HUENF		"Nascimento, M.T.;Souza, T.P.,Dan, M.L."	Mata do Emboque
9	Paratecoma peroba (Record) Kuhlm.	Paratecoma peroba (Record) Kuhlm.	-11,512136	-37,579758	gass84,inmano	PRESERVED_SPECIMEN	PRESENT	ASE - Herbário da Universidade Federal de Sergipe	ASE - Herbário da Universidade Federal de Sergipe	Gomes, C	P.A. SEPÉ-TIARAJU II
10	Paratecoma peroba (Record) Kuhlm.	Paratecoma peroba (Record) Kuhlm.	-11,304444	-37,344722	cdround,gass84,colmafu,inmafu	PRESERVED_SPECIMEN	PRESENT	ASE		Gomes, C	P.A. SEPÉ-TIARAJU II
11	Paratecoma peroba (Record) Kuhlm.	Paratecoma peroba (Record) Kuhlm.	-21,335833	-41,138333	cdround,gass84,inmano	PRESERVED_SPECIMEN	PRESENT	HUENF		"Nascimento, M.T.;Dan, M.L.,Ribeiro, A.C.C."	Fazenda Santana
12	Paratecoma peroba (Record) Kuhlm.	Paratecoma peroba (Record) Kuhlm.	-22,516667	-42,333333	cdround,gass84,muluriiv,inmano	PRESERVED_SPECIMEN	PRESENT	Rio de Janeiro Botanical Garden	RB - Rio de Janeiro Botanical Garden Herbarium Collection	"S. de V.A.Pessoa; J.Dias, J.C.Gomes & A.Pintor"	
13	Paratecoma peroba (Record) Kuhlm.	Paratecoma peroba (Record) Kuhlm.	-22,516666	-42,333333	gass84,diffown	PRESERVED_SPECIMEN	PRESENT	SPF - Herbário da Universidade de São Paulo	SPF - Herbário da Universidade de São Paulo	Pessoa, SVA	Área FSH2
14	Paratecoma peroba (Record) Kuhlm.	Paratecoma peroba (Record) Kuhlm.	-21,391389	-41,094444	cdround,gass84,inmano	PRESERVED_SPECIMEN	PRESENT	HUENF		"Nascimento, M.T.;Lins, B."	Mata do Carvão Estação Ecológica Estadual de Guaxindiba
15	Paratecoma peroba (Record) Kuhlm.	Paratecoma peroba (Record) Kuhlm.	-22,525833	-42,347778	cdround,gass84,inmano	PRESERVED_SPECIMEN	PRESENT	Rio de Janeiro Botanical Garden	RB - Rio de Janeiro Botanical Garden Herbarium Collection	"S. de V. A. Pessoa; A.Pintor & A.T.Oliveira"	Fazenda  Santa  Helena,  fragmento  próximo  a  BR-101  .
16	Paratecoma peroba (Record) Kuhlm.	Paratecoma peroba (Record) Kuhlm.	-21,4	-41,066667	cdround,gass84,inmano	PRESERVED_SPECIMEN	PRESENT	HUENF		"Gaglianone, M.C.;et al."	Mata do Carvão Estação Ecológica Estadual de Guaxindiba
17	Paratecoma peroba (Record) Kuhlm.	Paratecoma peroba (Record) Kuhlm.	-21,4	-41,066667	cdround,gass84,rdativ,inmano	PRESERVED_SPECIMEN	PRESENT	HUENF		"Gaglianone, M.C.;et al."	Mata do Carvão Estação Ecológica Estadual de Guaxindiba
18	Paratecoma peroba (Record) Kuhlm.	Paratecoma peroba (Record) Kuhlm.	-21,391389	-41,094444	cdround,gass84,inmano	PRESERVED_SPECIMEN	PRESENT	HUENF		s/c	Estação Ecológica Estadual de Guaxindiba
19	Paratecoma peroba (Record) Kuhlm.	Paratecoma peroba (Record) Kuhlm.	-21,391389	-41,094444	cdround,gass84,inmano	PRESERVED_SPECIMEN	PRESENT	HUENF		Nascimento, M.T.	Mata do Carvão Estação Ecológica Estadual de Guaxindiba
20	Paratecoma peroba (Record) Kuhlm.	Paratecoma peroba (Record) Kuhlm.	-19,814167	-40,678056	gass84,diffown	PRESERVED_SPECIMEN	PRESENT	MBML-Herbario - Herbário Mello Leitão	MBML-Herbario - Herbário Mello Leitão	A. Dalcolmo	São João de Petrópolis
21	Paratecoma peroba (Record) Kuhlm.	Paratecoma peroba (Record) Kuhlm.	-19,814167	-40,678056	cdround,gass84,rdativ,colmafu,inmafu	PRESERVED_SPECIMEN	PRESENT	MBML		A. Dalcolmo	São João de Petrópolis
22	Paratecoma peroba (Record) Kuhlm.	Paratecoma peroba (Record) Kuhlm.	-19,976944	-40,644167	gass84,diffown	PRESERVED_SPECIMEN	PRESENT	MBML-Herbario - Herbário Mello Leitão	MBML-Herbario - Herbário Mello Leitão	H. Q. Boudet Fernandes	(Santa Leopoldina) Rio Nove
23	Paratecoma peroba (Record) Kuhlm.	Paratecoma peroba (Record) Kuhlm.	-19,39490022	-40,07185301	cdrep,colmafu	PRESERVED_SPECIMEN	PRESENT	The New York Botanical Garden	Vascular plants	D. A. Folli	Reserva Florestal da CVRD.  Est. PELADA, Km 0,247, lado direito.
24	Paratecoma peroba (Record) Kuhlm.	Paratecoma peroba (Record) Kuhlm.	-19,391111	-40,071944	cdround,gass84,rdativ,colmafu,inmafu	PRESERVED_SPECIMEN	PRESENT	NY		D. A. Folli	Reserva Florestal da CVRD.  Est. PELADA, Km 0,247, lado direito.
